mmsi,is_fishing,label,sublabel,length,tonnage,country
12,Fishing,,,,,
16,Fishing,,,,,
56,Fishing,,,,,
91,Fishing,,,,,
99,Fishing,,,,,
157,Fishing,,,,,
225,Fishing,,,,,
238,Fishing,,,,,
345,Fishing,,,,,
356,Non-fishing,Passenger,,,,
412,Fishing,,,,,
456,Fishing,,,,,
707,Fishing,,,,,
721,Fishing,,,,,
1172,Fishing,,,,,
1253,Fishing,,,,,
1266,Fishing,,,,,
1425,Fishing,,,,,
1458,Fishing,,,,,
1712,Fishing,,,,,
1720,Fishing,,,,,
1811,Fishing,,,,,
2081,Fishing,,,,,
2349,Fishing,,,,,
2419,Fishing,,,,,
4024,Fishing,,,,,
5625,Fishing,,,,,
6149,Fishing,,,,,
6239,Fishing,,,,,
8396,Non-fishing,Tug/Pilot/Supply,Pilot,,,
10201,Fishing,,,,,
10223,Fishing,,,,,
11118,Fishing,,,,,
11121,Fishing,,,,,
11158,Fishing,,,,,
11311,Fishing,,,,,
11346,Fishing,,,,,
11723,Fishing,,,,,
12270,Fishing,,,,,
12347,Fishing,,,,,
12348,Fishing,,,,,
12432,Fishing,,,,,
13060,Fishing,,,,,
13104,Fishing,,,,,
14334,Fishing,,,,,
16560,Fishing,,,,,
17718,Fishing,,,,,
18291,Fishing,,,,,
21441,Fishing,,,,,
22068,Fishing,,,,,
23456,Fishing,,,,,
31151,Fishing,,,,,
67976,Fishing,,,,,
90696,Fishing,,,,,
101843,Fishing,,,,,
110722,Fishing,,,,,
111189,Fishing,,,,,
150048,Fishing,,,,,
201851,Fishing,Longliners,,33.9,271,
500430,Fishing,Longliners,,49.3,428.5,
527918,Fishing,,,,,
773000,Fishing,,,,,
5321000,Fishing,,,,,
8072781,Fishing,,,,,
9010680,Fishing,,,,,
9102346,Fishing,,,,,
9102659,Fishing,,,,,
9102734,Fishing,,,,,
9102739,Fishing,,,,,
9103568,Non-fishing,Cargo/Tanker,Cargo,,,
9103960,Fishing,,,,,
9104468,Fishing,,,,,
9110796,Fishing,,,,,
10421670,Fishing,Purse seines,Purse seines,,,
21555388,Fishing,,,,,
23361900,Fishing,,,26.61,235,
23509931,Fishing,Set gillnets,Set gillnets,11.89,24.23,
24004950,Fishing,,,,,
24022380,Fishing,,,,,
24081180,Fishing,,,,,
24466031,Non-fishing,Cargo/Tanker,Tanker,,,
24593300,Fishing,Trawlers,Trawlers,23.99,147,
25000116,Fishing,Trawlers,Trawlers,11.96,22.51,
